,content
83,By banning the Russian courses and discriminating against the students who live there you are punishing many for the actions of a few. You give the anti-western propaganda machine in Russia the arguments to justify their position and literally act Russophobic yourself. Your decision is a shame for anyone who truly cares about education.
84,Sometimes the platform is buggy but overall experience if great.
85,"I used it for many years. Until they decided that people of my nationality don't deserve education at the moment when we need this education like an air, this is the only hope left. Their mission of bringing knowledge to everyone was nothing but marketing, they are liars."
86,"There are thousands of academics and ordinary people across Russia who are firmly against this war and now you are punishing not only them for the crimes of their government, a government that many of them did not choose, but also the rest of the world. The course that you have decided to suspend from HSE is non-political in nature and the actions you have taken are bigoted and will deprive the world of valuable content. I am deeply disappointed."
87,Why on earth you punish russian students for war in Ukraine by blocking Coursera in Russia? You idiots even understand that 99% of students do not support what is happening right now?
88,I need a job please help me out
89,For restricting content for russians
90,This app is a fraud.
91,Fantastic way to earn credit or a degree at a fraction of the cost in the actual University. They offer links to the best colleges in the country!! All available online!
92,"The app is suddenly full of bugs since the last update. Sometimes when I complete the assigments or do a reading, the app doesnt reflect that immediately like it used to. Right now, I cant even open the course because it tells me to visit the web as a new version of the course is available and it is the case with every course I am enrolled in."
93,Awesome 👌
94,👍
95,"Videos are cropped in landscape mode, never had an issue with that until this app. Ditching it and using a browser instead. Funny how people get an app for everything when just a web browser does it better and you can control your privacy much better."
96,The best one app going to change my life step by step thnks
97,"Really good app, big number of quality courses, works really good. The only issue is that when doing quizes, the playground of code is totally black, cant see the code at all, I can only input. So it's kinda hard to know what the code looks like that we are suppose to fix if we cant see it."
98,"Bad experience. Needed a certificate for a college assignment. Submitted the peer graded assignment and even after being graded by a peer, I'm unable to get my grades. My assignment is now overdue. This problem had not been fixed yet."
99,Great app
100,Best way to learn
101,Before I updated the app I have downloaded some videos but after that videos are not playing
102,It helped me a lot. It's a best in building skills.
103,Bad experience. No technical support
104,Their Id vefication doest work properly and printed wrong name on my certificate and It is so hard to contact them for help.
105,"Great app love to study here, but now I am unable to sign in, neither on app nor on website. It says check your internet connection, my internet connection sy fine all other app and websites are working fine but coursera is not working. Kindly fix this problem. Thank you in advance..."
106,Excellent experience
107,One of the best apps ever with great courses used worldwide
108,Nice app but there are issues with ID Verification which deny users access to their certificates on completion of a course. The feature isn't flexible
109,It is a really good opportunity to learn topics we have always wanted and also things we actually need. The platform is easy to use and there is never a problem playing videos or listening audios. It is really easy to log in and it is not necessary to do it again and again which make it easier for practicing or studying when we have some time.
110,Oops Some thing went wrong while playing this video. Please exit the player and try again.
111,Pathetic! Not able to verify my ID. Camera cannot be used perhaps given all the necessary permissions.
112,I don't know why but from new update the videos are not opening...
113,Really really helpful app
114,It is quite annoying that certain part of the course cannot be done from the app. It forces to use a laptop which makes me wonder what's the benefit of the app.
115,Worst app .It gives plagiarism for every peer assignment and even if you send your original work . I had sent my original work and they are giving me plagiarism and i changed my work twice but there is no change . I also sent mail to coursera about this but they didn't did anything. The information is also not clear in this app. Maximum courses are from foreign countries and they do not match our syllabus and what we want .
116,Cheap costly education. Pay your price.
117,"Capturing photo to verifiy ID is not working properly. Capturing is always blurred and has no option to focus. When app is used, the camera is not working and the permission to camera is not available."
118,Easy to use
119,It's amazing
120,Ironically sad how the app that teaches technology to people makes such poor use of it. Can't believe that in 2022 this app still doesn't have a good playback screen. Doesn't pause when the play/pause button on headset is clicked. Does pause when screen is locked either; just keeps stuttering and playing in the background. Doesn't have a dark mode either.
121,it's great platform for learning I have done many courses from here love you coursera and thank you so much for giving us this opportunity
122,Give a option to save courses for future reference in app and website. For eg. E commercial sites has wishlist option to save product for future reference
123,Good for learning.
124,"1* for now, for marking two quiz correct answers as red ""X Incorrect"" and giving the below explanation as to why it is incorrect as if the answer was marked Correct, and thus being treated as incorrect for the final score. eg. ""Practice is important for any area in which you want to acquire expertise"" got marked ""X Incorrect"" and below with white(explaining why) was the text ""True."" :))"
125,need dark mode
126,Excellent
127,I can cast my screen to my Android TV. Highly recommended. Is like a free source of knowledge. Also paid courses available. Subtitles in many languages depending on the course.
128,Good
129,Unable to download content.
130,Absolute trash platform with 0 customer support. Big data course is so outdated half the tutorials don't work.
131,Nice
132,Can't login with my email. My information is correct but it just stays in the login page.
133,"Generally good app but it ""forgets"" the user all the time. I have to log in again every few days. Very unnecessary."
134,"Not able to verify id, even after taking clear photos. What a terrible site"
135,Please add A Dark mode like IOS. Apart from that great app.
136,"For some reason, I automatically get logged out and then I need to login again! Uninstalled."
137,Grading system is quite frustrating. No response for given feedbacks in app. You keep learning hours and hours and end up with awful grading system.
138,"Awesome app and platform, a complete fan."
139,WaItInG FoR CoNnEcTiOn...
140,"Nothing more than website. There's no point in installing an app when it does its job worse than the website. It doesn't remember the video speed and, most importantly, doesn't allow me to take tests as the screen is ""too small"". I can do tests on the same device via website."
141,Best Educational app
142,"Works great as expected, just one thing tho. There are major bugs when I'm using it in dark mode. Im using Mi 11 Lite and it has a built in forced dark mode for all apps, but with the systems dark mode enabled the app faces issues like, page scrolling stuck, video stucks on moving backwards or forward and some minor freezing here and there. Might wanna look into it."
143,Nice app filled with much knowledge for those that can use it.
144,"Auditing a bunch of classes that interest me, gaining new skills, interests....i have about 100 specific courses that are on my to do list. Manditory for everyone is the media literacy course about being able to figure out what is mis/disinformation, taking the time to actually click on sources, verify information for yourself instead of taking someones word for it when their motive is to convince you of their way of thinking. Good stuff."
145,I like Coursera ...but despite strong wifi i am not able to download any videos...the server just goes on and on.. despite reinstalling the problem remains.. please fix it ...
146,Good course
147,"Lag, crash, doesn't keep setting set for videos"
148,Super
149,Nicer app.
150,"The app is amazing but I have two major issues that need to be solved. First, the font is too small for reading pages and there is no way to make it bigger than changing phone font. I need an option for changing page font during reading. The second issue, is some pages stick to portrait and dosn't flip to be landscape on the tablet. Thank you"
151,This is very good app for learning
152,"Unbelievable , amazing"
