,content
189,Good experience
190,Fantastic
191,Best learning application 👍👍💐
192,"Horrible pricing structure, not very clear on what charges are going through , says a course is under Coursera plus but then charges for Coursera plus and the course. Needs to be clarified what money is being charged for what product."
193,"hii, im not able to install this app in laptop.... pls suggest me how to install."
194,Best educational app
195,I faced problems with my courses I started as soon as my financial aid had approved and when I finished the course I didn't receive any certificate also I can't do any change in my profile through this app
196,Just like it.
197,Is'nt downloading
198,"I applied in HTML course and video are not downloading, it is stuck on one point after that downloading is not completed in whole day."
199,"A super platform to learn whatever you wish. 4 stars for the coursera platform and the coursera support team. One star deducted for the fact that the app doesn't have any tool for note making/bookmarking/highlighting. Please add this feature as well. Except this, everything's perfect."
200,It's my real life education model.
201,Hi . I'm using a google pixel4a phone . I can't access the camera on the app. If I go to app permissions . There is no camera permissions option .
202,"When i try logging in with my google account, it makes me input the password and then it simply returns to the login page. i've uninstalled and reinstalled, i've cleared all cached data, i've even checked my settings on the browser, but alas the application is not letting me log in. the browser is perfectly fine though but you see, not everyone can afford a PC or a laptop."
203,Scamming. They promised me 7days free for try and then I need pay. My card was charged immediately 🤬 Nobody want review my work. I paid for it. I hate the class but I can't cancel it because they will never return my money. I paid for certificate and I can't send any messages in week group chat. They promised group chat but I don't have it so nobody know that I need review my work. So I was just scammed for 50$ and I can't go to group chat and I wasn't able to have 7days free for try.
204,Terrible experience. DO NOT USE. TOTAL RIP OFF. Tried to cancel my subscription then when I demanded a refund they told me my subscription had been cancelled because I demanded a refund. I can't believe Google and other companies do business with these frauds.
205,It's the best
206,It is a good way of online learning through coursera app.it shortens the audience time by minimizing their time wastage.
207,It's very good 👍
208,It's good but my course download didn't resumed after i closed and later reopened the app. All other videos of that course were downloaded except one video which is stopped and not downloading showing waiting for connection. Poor interface.
209,I can't fully use this because their development won't offer access to coursework on small screens. I'm on a galaxy tab s7+ it's the only computer I have and for a tablet it has a big screen. But it's still not working. Make this accessible to people without computers or laptops. I don't understand why you can't
210,I AM NOT ABLE TO REVIEW ASSIGNMENTS OF OTHER STUDENTS. IT TELLS ME TO CHECK MY INTERNET CONNECTION. ALTHOUGH I HAVE ALREADY RE INSTALLED THE APP AND MY NETWORK IS PERFECT STILL NOTHING SEEMS TO WORK. PLEASE FIX THIS GLITCH IN YOUR APP ASAP.
211,"I downgraded my version of the app. Please don't install this update. It will freeze your phones. It's not stable. Coursera, this update isn't stable. Thank you."
212,"Such a great platform with highly qualified teachers and also if I dont even wanted to buy a course instead wanna do an overview of that, so it's possible."
213,Done many couses via coursera. User friendly interfaces and classes are up to the standards. Instant certificate available after the completion of course.
214,I've installed this app several times but either I can't figure out how to apply for financial aid or when I start a class it seems like the tests and the flow of the info comes too fast. But I've heard really good things for many years and it's incredibly easy to unenroll if I must or enroll again.
215,I enjoin using this application
216,sync course bettwen laptop and app. can even download lesson of offline usage. Good certification is another big plus.
217,App seems a bit heavey for cpu and internet. I will also suggest more free courses and reminders for students to maintain their presence in course.
218,This review was not designed for use on a small screen. Please use a computer or laptop to complete this review. I download MOBILE APP for a reason.
219,The application needs serious improvements to video player. It does not save the time at which playback stops and on return it starts from the beggining again. Screen rotation does not work also. Please take care to fix those bugs.
220,Good
221,I like this app because it gives me chance to learn more
222,I've got financial aids that help me boost my skills! I got a $39 course 100% free! The app is also excellent because it does not contain any ads.
223,"I completed my course, submitted every assignment and project but I was not given my certificate before my subscription expired. Even till date I am yet to receive it. The help desk have no solution for problems like mine. Its telling me to resubscribe again. 😖"
224,"Great app, amazing courses, and splendid resources. My only complaint is that if I wanted to mark as favorite or save for later a class that I'm not going to take right now, I can't do so like other similar apps (Domestika/Udemy). But a magnificent app all together. Would totally recommend"
225,Amazing and beneficial app!
226,Courses doesn't verify the identity of the learner. This is a type of cheating. What does this certificate means for a learner?
227,"I am unable to download the questions in social psychology course . I have reported the issue several times, pls guide"
228,"if possible, please provide a version without google play service"
229,Awesome
230,This is so amazing and i bet you the world doesnt even known these opportunities exist I think someone needs to let them know
231,Easy to use and best for learning from great teachers..I feel happy to learn from Coursera app.😄
232,This app helped me to build my carrier so bright.
233,"I couldn't use the app so I uninstalled it. But now I can't reinstall it. The download is pending, I tried mobile data and wifi."
234,ما را چه نیازی به بیان است. البته میتونه مشترک دوست تر باشه
235,"There is an ID verification requirement for certification. And now when I submit any assessment it shows I, Permanent Account Number... Can't find a way to reach out and get it corrected..."
236,Not able to play the videos on my android device.
237,God damn it's so cool
238,"Good, but it doesn't recognize when an assignment has been submitted, it keeps getting flagged as overdue."
239,"You can do about half the course on your phone, there are lectures thst are to big and must do from your computer. Each week takes about 1-3 hours off your time in small times."
240,Your latest update won't download the courses at all.
241,Am having issues with loading and taking quiz for integrative nursing course..I then updated the app..I now I can't find the course on the page again..I had to try to restart but its not opening..
